iter	Logloss
0	0.6905041831
1	0.6877944328
2	0.6851405905
3	0.6826902601
4	0.6801907405
5	0.6778334387
6	0.6755755784
7	0.6730709805
8	0.6709637489
9	0.6685008553
10	0.6663729924
11	0.6642647174
12	0.6623708828
13	0.660372871
14	0.6587729369
15	0.6567329815
16	0.6548630432
17	0.6528688177
18	0.6511278644
19	0.6494178075
20	0.6475092455
21	0.6457006173
22	0.6440109288
23	0.6423883529
24	0.6407296125
25	0.6390868069
26	0.6373467848
27	0.6357374647
28	0.6343867259
29	0.6325030038
30	0.6309593279
31	0.6296799527
32	0.6283095748
33	0.6271906186
34	0.6258260235
35	0.6244280849
36	0.6230938402
37	0.6216925193
38	0.6203130772
39	0.618875588
40	0.6176448524
41	0.6164320658
42	0.6151637604
43	0.6139309619
44	0.6127133359
45	0.6114507446
46	0.6103786498
47	0.6091871374
48	0.6080009117
49	0.6069198699
