iter	Passed	Remaining
0	2	223
1	3	176
2	5	181
3	7	179
4	8	166
5	10	156
6	11	149
7	12	144
8	13	140
9	15	137
10	16	134
11	17	131
12	19	129
13	20	127
14	22	125
15	25	131
16	26	129
17	27	127
18	29	124
19	30	123
20	32	121
21	33	119
22	35	118
23	36	116
24	38	114
25	39	112
26	41	110
27	42	108
28	43	107
29	45	105
30	46	104
31	48	102
32	49	100
33	51	99
34	53	98
35	54	97
36	56	95
37	57	94
38	59	92
39	61	91
40	62	90
41	64	89
42	66	88
43	68	86
44	70	85
45	71	84
46	73	82
47	75	81
48	76	79
49	78	78
50	80	77
51	81	75
52	83	74
53	85	72
54	86	70
55	88	69
56	89	67
57	90	65
58	92	64
59	93	62
60	95	60
61	96	59
62	98	57
63	99	55
64	101	54
65	102	52
66	103	51
67	105	49
68	106	47
69	107	46
70	109	44
71	111	43
72	112	41
73	114	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	124	31
80	126	29
81	128	28
82	130	26
83	131	25
84	133	23
85	134	21
86	136	20
87	137	18
88	139	17
89	142	15
90	144	14
91	146	12
92	147	11
93	149	9
94	151	7
95	152	6
96	155	4
97	157	3
98	159	1
99	160	0
